group_id	group_size	unique_text_count	majority_text_count	majority_text_ratio
cer_000147	30	1	30	1.000000
cer_000148	30	1	30	1.000000
cer_000149	30	1	30	1.000000
cer_000150	30	1	30	1.000000
cer_000151	30	1	30	1.000000
cer_000152	30	1	30	1.000000
cer_000153	30	1	30	1.000000
cer_000154	30	1	30	1.000000
cer_000155	30	1	30	1.000000
cer_000156	30	1	30	1.000000
cer_000157	30	1	30	1.000000
cer_000158	30	1	30	1.000000
cer_000159	30	1	30	1.000000
cer_000160	30	1	30	1.000000
cer_000161	30	1	30	1.000000
cer_000162	30	1	30	1.000000
cer_000163	30	1	30	1.000000
cer_000164	30	1	30	1.000000
cer_000165	30	1	30	1.000000
cer_000166	30	1	30	1.000000
cer_000167	30	1	30	1.000000
cer_000168	30	1	30	1.000000
cer_000169	30	1	30	1.000000
cer_000170	30	1	30	1.000000
cer_000171	30	1	30	1.000000
cer_000172	30	1	30	1.000000
cer_000173	30	1	30	1.000000
cer_000174	30	1	30	1.000000
cer_000175	30	1	30	1.000000
cer_000176	30	1	30	1.000000
cer_000177	30	1	30	1.000000
cer_000178	30	1	30	1.000000
cer_000179	30	1	30	1.000000
cer_000180	30	1	30	1.000000
cer_000181	30	1	30	1.000000
cer_000182	30	1	30	1.000000
cer_000183	30	1	30	1.000000
cer_000184	30	1	30	1.000000
cer_000185	30	1	30	1.000000
cer_000186	30	1	30	1.000000
cer_000187	30	1	30	1.000000
cer_000188	30	1	30	1.000000
cer_000189	30	1	30	1.000000
cer_000190	30	1	30	1.000000
cer_000191	30	1	30	1.000000
cer_000192	30	1	30	1.000000
cer_000193	30	1	30	1.000000
cer_000194	30	1	30	1.000000
cer_000195	30	1	30	1.000000
cer_000196	30	1	30	1.000000
cer_000197	30	1	30	1.000000
cer_000198	30	1	30	1.000000
cer_000199	30	1	30	1.000000
cer_000200	30	1	30	1.000000
cer_000201	30	1	30	1.000000
cer_000202	30	1	30	1.000000
cer_000203	30	1	30	1.000000
cer_000204	30	1	30	1.000000
cer_000205	30	1	30	1.000000
cer_000206	30	1	30	1.000000
cer_000207	30	1	30	1.000000
cer_000208	30	1	30	1.000000
cer_000209	30	1	30	1.000000
cer_000210	30	1	30	1.000000
cer_000211	30	1	30	1.000000
cer_000212	30	1	30	1.000000
cer_000213	30	1	30	1.000000
cer_000214	30	1	30	1.000000
cer_000215	30	1	30	1.000000
cer_000216	30	1	30	1.000000
cer_000217	30	1	30	1.000000
cer_000218	30	1	30	1.000000
cer_000219	30	1	30	1.000000
cer_000220	30	1	30	1.000000
cer_000221	30	1	30	1.000000
cer_000222	30	1	30	1.000000
cer_000223	30	1	30	1.000000
cer_000224	30	1	30	1.000000
cer_000225	30	1	30	1.000000
cer_000226	30	1	30	1.000000
cer_000227	30	1	30	1.000000
cer_000228	30	1	30	1.000000
cer_000229	30	1	30	1.000000
cer_000230	30	1	30	1.000000
cer_000231	30	1	30	1.000000
cer_000232	30	1	30	1.000000
cer_000233	30	1	30	1.000000
cer_000234	30	1	30	1.000000
cer_000235	30	1	30	1.000000
cer_000236	30	1	30	1.000000
cer_000237	30	1	30	1.000000
cer_000238	30	1	30	1.000000
cer_000239	30	1	30	1.000000
cer_000240	30	1	30	1.000000
cer_000241	30	1	30	1.000000
cer_000242	30	1	30	1.000000
cer_000243	30	1	30	1.000000
cer_000244	30	1	30	1.000000
cer_000245	30	1	30	1.000000
cer_000246	30	1	30	1.000000
cer_000247	30	1	30	1.000000
cer_000248	30	1	30	1.000000
cer_000249	30	1	30	1.000000
cer_000250	30	1	30	1.000000
cer_000251	30	1	30	1.000000
cer_000252	30	1	30	1.000000
cer_000253	30	1	30	1.000000
cer_000254	30	1	30	1.000000
cer_000255	30	1	30	1.000000
cer_000256	30	1	30	1.000000
cer_000257	30	1	30	1.000000
cer_000258	30	1	30	1.000000
cer_000259	30	1	30	1.000000
cer_000260	30	1	30	1.000000
cer_000261	30	1	30	1.000000
cer_000262	30	1	30	1.000000
cer_000263	30	1	30	1.000000
cer_000264	30	1	30	1.000000
cer_000265	30	1	30	1.000000
cer_000266	30	1	30	1.000000
cer_000267	30	1	30	1.000000
cer_000268	30	1	30	1.000000
cer_000269	30	1	30	1.000000
cer_000270	30	1	30	1.000000
cer_000271	30	1	30	1.000000
cer_000272	30	1	30	1.000000
cer_000273	30	1	30	1.000000
cer_000274	30	1	30	1.000000
cer_000275	30	1	30	1.000000
cer_000276	30	1	30	1.000000
cer_000277	30	1	30	1.000000
cer_000278	30	1	30	1.000000
cer_000279	30	1	30	1.000000
cer_000280	30	1	30	1.000000
cer_000281	30	1	30	1.000000
cer_000282	30	1	30	1.000000
cer_000283	30	1	30	1.000000
cer_000284	30	1	30	1.000000
cer_000285	30	1	30	1.000000
cer_000286	30	1	30	1.000000
